provincia_ciudad;area_ciudad;altura_ciudad;habitantes_ciudad;densidad_ciudad;promedio_ciudad;mediana_ciudad;percentil10_ciudad;percentil25_ciudad;percentil75_ciudad;percentil90_ciudad
Neuquen_Lacar;4930;2310;29748;6.03;131700;132500;114300;115000;143000;155500
Neuquen_Neuquen;128;270;231198;1807;126700;132500;70000;98750;145250;180000
Neuquen_Plottier;142.6;260;55000;227.1;93000;92500;80000;81250;100000;110000
Neuquen_Rincon de los Sauces;2867.89;974;19398;338.97;133000;130000;119500;122500;143750;150000
Neuquen_San Martin de los Andes;140;640;28599;204;142400;139000;118600;131250;160000;161500
Neuquen_Villa La Angostura;79.6;780;18000;79.02;125800;116000;92200;104000;150000;174400
Neuquen_Zapala;452;1002;35355;71.9;94000;92500;65000;75000;113750;121000
Rio Negro_Allen;128.26;256;27443;214;65700;56000;39800;46750;85000;100000
Rio Negro_Cipolletti;5257.8;270;87343;15;112800;108000;82700;86000;128250;143200
Rio Negro_General Fernandez Oro;1225.07;246;8629;185.69;90200;85000;69200;81250;105000;115500
Rio Negro_General Roca;490;240;81534;184;108800;112500;82600;91000;123750;131000
Rio Negro_Las Grutas;1225.07;20;4487;185.69;118000;120000;95000;100000;125000;150000
Rio Negro_San Carlos de Bariloche;220.3;893;112887;512.42;117300;107000;97500;101000;140000;151200
Rio Negro_Villa Cerro Catedral;29;893;88;3.03;125800;116000;92200;104000;150000;174400
Salta_Acambuco;157;1187;535303;526.4;75900;72000;60000;65000;75000;101500
Salta_Salta;30;1187;535303;15712.97;75900;72000;60000;65000;75000;101500
San Juan_Rivadavia;157;726;82641;526.4;27600;29000;23000;23500;30000;31200
San Juan_San Juan;30;640;471389;15712.97;79800;80000;75000;78000;81000;85000
San Luis_San Francisco del Monte de Oro;157;796;3732;526.4;102800;97500;85000;90000;118750;120800
San Luis_San Luis;30;709;464020;15712.97;102800;97500;85000;90000;118750;120800
Santa Fe_Esperanza;289;38;43000;149.83;32200;32500;27700;30000;34500;38000
Santa Fe_Granadero Baigorria;12;3;43000;3082.83;53400;55000;35000;49250;61500;65300
Santa Fe_Rafaela;156;90;391571;595.8;61800;67000;43000;50000;74000;75000
Santa Fe_Roldan;114;27;14299;125.43;86400;92000;65000;80000;95000;100000
Santa Fe_Rosario;178.69;25;948312;5726;56300;53000;44900;48750;66500;69100
Santa Fe_San Lorenzo;32;40;46239;1178.41;124600;110000;85800;87750;170750;182200
Santa Fe_Santa Fe;268;25;391164;1513.74;104300;101500;76500;96250;108000;124000
Santa Fe_Santo Tomas;79;19;66133;831.44;39600;35000;33900;34250;35000;60000
Santa Fe_Villa Constitucion;103;42;47903;459.94;45000;41000;37900;38500;49500;59100
Tucuman_Yerba Buena;160;465;75076;469.2;100800;100000;78500;91250;107500;121200
